序号,背景分,笔试,英语,面试,总成绩,本科毕业单位,备注
1,20,46,90,93,70.7,北京科技大学,
2,22,86,89,89,83.4,武汉大学,
3,24,48,84.67,85.33,72.466,武汉大学,
4,24,58,92,90,77.6,武汉大学,
5,26,30,85.33,86.67,69.534,四川大学,
6,19,58,91,93.33,73.499,中国矿业大学(徐州),
7,24,70,86.33,85,79.133,武汉大学,
8,24,50,88,88,74.2,武汉大学,
9,24,52,86,85,73.7,武汉大学,
10,25,56,86.67,88.67,77.068,华中科技大学,
11,23,55,86.33,85,73.633,武汉大学,
12,26,36,93,90.33,73.199,武汉大学,
13,23,51,84.33,85.33,72.332,武汉大学,
14,24,52,88,86.33,74.299,天津大学,
15,24,48,90,90,74.4,华中科技大学,
16,26,52,89,92,78.1,武汉大学,
17,24,72,92.67,93.66,82.965,武汉大学,
18,23,56,88.33,89.33,75.432,武汉大学,
19,25,74,84,89.67,82.501,武汉大学,
20,23,33,87,87,67.7,武汉大学,
21,24,61,88.33,87.67,77.434,武汉大学,
22,24,75,86,87,81.2,武汉大学,
23,23,74,88,87,80.1,武汉大学,
24,23,32,83.67,85,66.467,武汉大学,
25,24,37,86.33,88.67,70.334,武汉大学,
26,24,68,92,91.33,80.999,武汉大学,
27,22,35,90,89,68.2,东北农业大学,
28,23,81,93,95,85.1,武汉大学,
29,24,54,83,85,74,武汉大学,
30,23,66,88.67,86.67,77.668,武汉大学,
31,24,74,86.33,90,81.833,武汉大学,
32,24,55,82,84,73.9,武汉大学,
33,24,58,82,82,74.2,武汉大学,
34,27,49,83.67,89.33,76.866,吉林大学,
35,23,26,88,88,66,武汉大学,
36,26,50,87,87.67,76.001,武汉大学,
37,23,51,84,88,73.1,武汉大学,
38,25,47,95,91,75.9,武汉大学,
39,24,55,92.33,87.67,76.034,武汉大学,
40,23,53,88.33,89.33,74.532,武汉大学,
41,24,48,80,75,68.9,武汉大学,
42,23,80,88,89.33,82.599,武汉大学,
43,24,59,91.67,90.67,78.068,湖南大学,
44,24,50,92,95,76.7,电子科技大学,
45,24,27,91,89,67.9,电子科技大学,
46,23,36,85.33,87.67,68.634,武汉大学,
47,23,62,81,80,73.7,武汉大学,
48,24,81,98,93,86,大连理工大学,
49,25,56,89,92.33,78.399,重庆大学,
50,24,74,82.67,80.33,78.566,吉林大学,
51,25,57,88,90,77.9,中南大学,
52,29,57,87,87,80.9,武汉大学,
53,24,70,96,90,81.6,电子科技大学,
54,25,65,89.33,93.33,81.432,武汉大学,
55,24,59,84,80,74.1,华东师范大学,
56,24,83,88,95,86.2,电子科技大学,
57,26,60,85,80,76.5,电子科技大学,
58,23,53,89.33,89.33,74.632,武汉大学,
59,25,61,88,84,77.3,电子科技大学,
60,21,56,87.66,91,73.866,武汉大学,
61,24,44,90,89,72.9,武汉大学,
62,23,56,86.67,84,73.667,武汉大学,
63,24,72,87,90,81.3,武汉大学,
64,24,34,80.67,81.67,66.768,中央民族大学,
65,23,43,92,92.67,72.901,华中师范大学,
66,26,81,93,93,87.5,武汉大学,
67,21,66,89,92,77.3,武汉大学,
68,23,79,91,91,83.1,西北工业大学,
69,20,83,91,92.67,81.801,暨南大学,
70,22,58,88,93,76.1,中国地质大学(北京),直博
71,25,50,90,87,75.1,武汉大学,
72,24,66,87,86,78.3,武汉理工大学,
73,24,62,86.67,85.33,76.866,武汉大学,
74,26,59,88.33,88.67,79.134,山东大学,
75,25,81,87.67,89.67,84.968,南昌大学,
76,23,40,86,86,69.4,武汉大学,
77,26,34,87,88,71.3,武汉大学,
78,23,70,92,94,81.4,武汉大学,
79,26,51,88,88,76.5,武汉大学,
80,24,61,92.33,90.67,78.734,江南大学,
81,24,67,88,92,80.5,安徽大学,
82,24,79,88.33,92.67,84.334,湖南大学,
83,24,42,83.33,88.67,71.534,重庆大学,
84,23,49,83,85,71.5,武汉大学,
85,23,56,82,85,73.5,武汉大学,
86,25,63,89,84.33,78.099,中南大学,
87,22,46,88,92,72.2,武汉大学,
88,25,34,85,95,72.2,电子科技大学,
89,24,47,89,90,74,武汉大学,
90,25,73,87.33,89,82.333,中南大学,
91,23,81,90,89,83,武汉大学,
92,22,82,87,90.67,82.501,合肥工业大学,
93,25,65,87,89.33,79.999,吉林大学,
94,25,80,94.67,93.33,86.466,武汉大学,
95,28,72,90,92.67,86.401,四川大学,
96,25,60,88,86,77.6,武汉大学,
97,23,40,92,92,71.8,武汉大学,
98,16,39,86,85,61.8,中国矿业大学(北京),
99,24,57,90.67,93.33,78.166,东北大学,直博
100,28,57,88.67,89.33,80.766,吉林大学,
101,23,80,88.67,87.67,82.168,中国矿业大学(徐州),
102,24,58,90,92,78,大连理工大学,
103,26,64,87,89,80.6,武汉大学,
104,23,72,87.33,87,79.433,厦门大学,
105,24,61,85,85,76.3,武汉大学,
106,24,32,91,89,69.4,武汉大学,
107,24,73,92,90,82.1,东北大学,
